second,median,mad
500,84.713976,18.529187
501,84.80169,18.558799
502,84.929918,18.573554
503,84.978074,18.501359
504,84.93424,18.6722
505,84.923,18.801944
506,84.92384,18.773477
507,84.751289,18.933055
508,84.755713,18.868847
509,84.891519,18.787461
510,84.9228,18.805201
511,84.875465,18.701953
512,84.924967,18.742292
513,84.849448,18.779873
514,84.709572,18.822295
515,84.570727,18.933673
516,84.623867,18.95194
517,84.634313,18.984229
518,84.663062,19.023485
519,84.680547,18.946286
520,84.736169,18.906892
521,84.679281,18.976644
522,84.511062,19.014644
523,84.514732,19.01422
524,84.511416,19.012585
525,84.488277,18.970552
526,84.416722,18.955144
527,84.385992,18.980713
528,84.407626,19.018577
529,84.303591,19.019105
530,84.42494,18.934781
531,84.512462,18.988818
532,84.493956,19.016381
533,84.564234,18.966216
534,84.602888,18.943479
535,84.509423,18.900002
536,84.479521,18.930989
537,84.386603,18.927251
538,84.453592,18.998419
539,84.454909,18.997074
540,84.367126,19.033536
541,84.352004,19.079882
542,84.384262,19.193723
543,84.534325,19.228812
544,84.421025,19.239932
545,84.436549,19.113112
546,84.402031,19.152446
547,84.490452,19.173937
548,84.451238,19.035221
549,84.396875,19.044259
550,84.400423,19.052811
551,84.401444,19.064816
552,84.494528,19.106758
553,84.430503,19.161298
554,84.416559,19.194897
555,84.25817,19.193066
556,84.139735,19.133452
557,84.201224,19.18759
558,84.158933,19.158039
559,84.135492,19.150679
560,84.215082,19.111555
561,84.20425,19.144193
562,84.103948,19.087054
563,84.097074,19.081687
564,83.994158,19.139752
565,84.173698,19.112498
566,84.031427,19.137388
567,83.934407,19.166112
568,83.909426,19.157944
569,83.95067,19.084615
570,83.950648,19.110146
571,84.022312,19.123716
572,84.005291,19.163133
573,83.935564,19.287511
574,83.840609,19.440506
575,83.852584,19.465968
576,83.929583,19.388746
577,83.831254,19.367934
578,83.829828,19.374134
579,83.806809,19.426678
580,83.836374,19.348998
581,83.914494,19.55419
582,83.834098,19.546721
583,83.884255,19.51339
584,83.749437,19.690496
585,83.789583,19.761367
586,83.768018,19.852016
587,83.769544,19.857992
588,83.776025,19.887922
589,83.740126,19.870709
590,83.645118,19.837558
591,83.598051,19.806521
592,83.427002,19.851944
593,83.446164,19.855404
594,83.47809,19.919751
595,83.467575,19.962958
596,83.410579,19.952249
597,83.540755,19.950018
598,83.570343,19.928927
599,83.554752,19.890939
